"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"03/18/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2651,2211,3178,,,,,,,,,,,,,,,
"03/19/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2702,2488,2934,,,,,,,,,,,,,,,
"03/20/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/21/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3026,2266,4040,,,,,,,,,,,,,,,
"03/22/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2372,1918,2932,,,,,,,,,,,,,,,
"03/23/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2726,2035,3653,,,,,,,,,,,,,,,
"03/24/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3094,2154,4444,,,,,,,,,,,,,,,
"03/25/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2645,2073,3373,,,,,,,2797,2231,3507,,,,,,
"03/26/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2802,2290,3428,,,,,,,,,,,,,,,
"03/27/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2936,2346,3674,,,,3243,2710,3882,,,,,,,,,
"03/28/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2631,2238,3093,,,,,,,2417,2103,2778,2893,2597,3221,,,
"03/29/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2181,2068,2301,,,,,,,,,,,,,,,
"03/30/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/31/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2215,1949,2518,,,,2208,1979,2463,,,,,,,,,
"04/01/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2178,1979,2396,,,,,,,,,,,,,,,
"04/02/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2405,1998,2894,,,,,,,,,,2567,2047,3219,,,
"04/03/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2686,2024,3564,,,,,,,,,,,,,,,
"04/04/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2674,2107,3393,,,,,,,,,,,,,,,
"04/05/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2712,2178,3376,,,,,,,,,,,,,,,
"04/06/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"04/07/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2054,1809,2333,,,,,,,,,,,,,,,
"04/08/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2129,887,5108,,,,,,,,,,,,,,,
"04/09/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2381,1920,2953,,,,,,,,,,,,,,,
"04/10/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2435,2049,2894,,,,,,,,,,,,,,,
"04/11/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2556,2008,3252,,,,,,,2330,2177,2495,,,,,,
"04/12/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2633,2097,3306,,,,,,,,,,,,,,,
"04/13/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2707,2356,3109,,,,,,,2898,2592,3239,,,,,,
"04/14/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2129,2009,2257,,,,,,,,,,,,,,,
"04/15/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2661,2134,3318,,,,,,,,,,,,,,,
"04/16/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2761,1975,3858,,,,,,,2310,1816,2937,,,,,,
"04/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3161,2025,4933,,,,,,,,,,,,,,,
