"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/15/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2680,2130,3370,,,,,,,,,,,,,,,
"01/16/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2465,2050,2965,,,,,,,,,,,,,,,
"01/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2494,2090,2975,,,,,,,,,,,,,,,
"01/18/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2394,2118,2706,,,,,,,,,,,,,,,
"01/19/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3433,2052,5744,,,,,,,,,,,,,,,
"01/20/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/21/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2683,1981,3632,,,,,,,,,,,,,,,
"01/22/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/23/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/24/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/25/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2444,2178,2743,,,,,,,2300,2150,2460,,,,,,
"01/26/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3015,2240,4057,,,,,,,,,,,,,,,
"01/27/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2095,1912,2294,,,,,,,,,,,,,,,
"01/28/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/29/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/30/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"01/31/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2612,2023,3371,,,,,,,,,,,,,,,
"02/01/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2613,2194,3113,,,,,,,,,,,,,,,
"02/02/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2424,2066,2844,,,,,,,,,,,,,,,
"02/03/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2525,1958,3255,,,,,,,,,,,,,2359,1857,2996
"02/04/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2341,2053,2671,,,,,,,2358,2071,2683,,,,,,
"02/05/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/06/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2593,2165,3106,,,,,,,,,,,,,,,
"02/07/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2477,2043,3003,,,,,,,,,,,,,,,
"02/08/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2563,2101,3127,,,,,,,,,,,,,,,
"02/09/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2545,2063,3140,,,,,,,2638,2321,2997,,,,,,
"02/10/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/11/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2347,2089,2636,,,,,,,2310,2009,2656,,,,,,
"02/12/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/13/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2470,2125,2871,,,,,,,,,,,,,,,
"02/14/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2506,2173,2890,,,,,,,,,,,,,,,
"02/15/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2622,2237,3073,,,,,,,,,,,,,,,
"02/16/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2601,2228,3037,,,,,,,,,,,,,,,
"02/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2342,1952,2809,,,,,,,,,,,,,,,
"02/18/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2711,2088,3521,,,,,,,,,,,,,,,
"02/19/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3151,2158,4600,,,,,,,,,,,,,,,
"02/20/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/21/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2475,1995,3070,,,,,,,,,,,,,,,
"02/22/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2469,2219,2747,,,,,,,,,,,,,,,
"02/23/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2784,2246,3451,,,,,,,,,,,,,,,
"02/24/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/25/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2410,1758,3304,,,,,,,,,,,,,,,
"02/26/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2500,2092,2988,,,,,,,,,,,,,,,
"02/27/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"02/28/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/01/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/02/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3256,2593,4089,,,,,,,,,,,,,,,
"03/03/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2414,2053,2839,,,,,,,,,,,,,,,
"03/04/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2980,2116,4195,,,,,,,,,,,,,,,
"03/05/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3763,2258,6271,,,,,,,,,,,,,,,
"03/06/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2399,2238,2571,,,,,,,,,,,,,,,
"03/07/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/08/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2692,2260,3207,,,,,,,,,,,,,,,
"03/09/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2219,2011,2448,,,,,,,,,,,,,,,
"03/10/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2384,1901,2991,,,,,,,,,,,,,,,
"03/11/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2664,2088,3399,,,,,,,,,,,,,,,
"03/12/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3810,2542,5712,,,,,,,,,,,,,,,
"03/13/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3190,2222,4579,,,,,,,,,,,,,,,
"03/14/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2515,2005,3154,,,,,,,,,,,,,,,
"03/15/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3149,2154,4606,,,,,,,,,,,,,,,
"03/16/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"03/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2580,1920,3466,,,,,,,,,,,,,,,
