"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"05/20/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3162,2161,4628,,,,,,,,,,,,,,,
"05/21/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3601,2376,5457,,,,,,,,,,,,,,,
"05/22/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2805,2127,3699,,,,,,,,,,,,,,,
"05/23/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3370,2231,5089,,,,,,,3730,2347,5927,,,,,,
"05/24/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2848,2121,3825,,,,,,,,,,,,,,,
"05/25/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/26/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2388,1920,2970,,,,,,,,,,,,,,,
"05/27/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2665,2112,3362,,,,,,,,,,,,,,,
"05/28/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2439,1869,3183,,,,,,,,,,,,,,,
"05/29/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/30/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2519,2211,2871,,,,,,,,,,,,,,,
"04/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3161,2025,4933,,,,,,,,,,,,,,,
"04/18/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2743,2133,3527,,,,,,,,,,,,,,,
"04/19/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3048,2343,3966,,,,,,,,,,3364,2577,4391,,,
"04/20/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2761,2122,3593,,,,,,,,,,,,,,,
"04/21/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2196,2047,2357,,,,,,,,,,,,,,,
