"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"04/22/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2379,2022,2798,,,,,,,,,,,,,,,
"04/23/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2451,2085,2880,,,,,,,,,,,,,,,
"04/24/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2934,2095,4109,,,,,,,2872,2114,3902,,,,,,
"04/25/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2794,2333,3346,,,,,,,,,,,,,,,
"04/26/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3142,2265,4359,,,,,,,,,,3164,2554,3921,,,
"04/27/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2789,2240,3472,,,,,,,,,,,,,,,
"04/28/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"04/29/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2921,2026,4210,,,,,,,,,,,,,,,
"04/30/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/01/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3033,2325,3955,,,,,,,,,,,,,,,
"05/02/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3991,2537,6279,,,,,,,,,,,,,,,
"05/03/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2953,2241,3893,,,,,,,,,,,,,,,
"05/04/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3837,2463,5977,,,,,,,,,,,,,,,
"05/05/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2289,1793,2921,,,,,,,,,,,,,,,
"05/06/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2579,2151,3093,,,,,,,,,,,,,,,
"05/07/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/08/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2521,2013,3157,,,,,,,,,,,,,,,
"05/09/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/10/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2758,2119,3590,,,,,,,2546,2005,3233,,,,,,
"05/11/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3030,2482,3698,,,,,,,,,,,,,,,
"05/12/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2298,2046,2582,,,,,,,,,,,,,,,
"05/13/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2811,2176,3633,,,,,,,,,,,,,,,
"05/14/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2797,2233,3504,,,,,,,,,,,,,,,
"05/15/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
"05/16/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",3311,2274,4820,,,,,,,3471,2233,5395,,,,,,
"05/17/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2891,2333,3583,,,,,,,,,,,,,,,
"05/18/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",2487,2198,2813,,,,,,,,,,,,,,,
"05/19/2018","258","0 Muthithi Rd","137","Thika - Mang'u Rd",,,,,,,,,,,,,,,,,,
